Year,Date,Hourly Demand Met (in MW)
2025,18-Jan 1am,148562.71
2025,18-Jan 2am,145049.71
2025,18-Jan 3am,143387.88
2025,18-Jan 4am,144012.81
2025,18-Jan 5am,150671.47
2025,18-Jan 6am,165859.57
2025,18-Jan 7am,189458.59
2025,18-Jan 8am,206333.2
2025,18-Jan 9am,216453.33
2025,18-Jan 10am,222714.98
2025,18-Jan 11am,221098.45
2025,18-Jan 12pm,214300.22
2025,18-Jan 1pm,206377.61
2025,18-Jan 2pm,199840.97
2025,18-Jan 3pm,199307.09
2025,18-Jan 4pm,197403.59
2025,18-Jan 5pm,196980.53
2025,18-Jan 6pm,198205.37
2025,18-Jan 7pm,198668.48
2025,18-Jan 8pm,189230.48
2025,18-Jan 9pm,177978.07
2025,18-Jan 10pm,165969.09
2025,18-Jan 11pm,160685.67
2025,19-Jan 12am,153370.53
2025,19-Jan 1am,150236.65
2025,19-Jan 2am,146595.29
2025,19-Jan 3am,144937.59
2025,19-Jan 4am,145905.69
2025,19-Jan 5am,151527.0
2025,19-Jan 6am,163670.41
2025,19-Jan 7am,182513.71
2025,19-Jan 8am,198751.42
2025,19-Jan 9am,209252.9
2025,19-Jan 10am,217010.23
2025,19-Jan 11am,213911.03
2025,19-Jan 12pm,206407.94
2025,19-Jan 1pm,199245.08
2025,19-Jan 2pm,190657.8
2025,19-Jan 3pm,187664.44
2025,19-Jan 4pm,183345.08
2025,19-Jan 5pm,180833.38
2025,19-Jan 6pm,183558.82
2025,19-Jan 7pm,187860.11
2025,19-Jan 8pm,177300.92
2025,19-Jan 9pm,168286.37
2025,19-Jan 10pm,158283.46
2025,19-Jan 11pm,151981.1
2025,20-Jan 12am,146047.0
2025,20-Jan 1am,143206.65
2025,20-Jan 2am,139994.14
2025,20-Jan 3am,138757.97
2025,20-Jan 4am,139898.32
2025,20-Jan 5am,147429.51
2025,20-Jan 6am,163930.57
2025,20-Jan 7am,191409.53
2025,20-Jan 8am,207534.48
2025,20-Jan 9am,213395.33
2025,20-Jan 10am,219764.44
2025,20-Jan 11am,217736.16
2025,20-Jan 12pm,212466.82
2025,20-Jan 1pm,205437.91
2025,20-Jan 2pm,199188.42
2025,20-Jan 3pm,199655.03
2025,20-Jan 4pm,198255.73
2025,20-Jan 5pm,196533.88
2025,20-Jan 6pm,197488.41
2025,20-Jan 7pm,197655.07
2025,20-Jan 8pm,188893.87
2025,20-Jan 9pm,177972.12
2025,20-Jan 10pm,166676.11
2025,20-Jan 11pm,161001.75
2025,21-Jan 12am,154178.58
2025,21-Jan 1am,150824.92
2025,21-Jan 2am,147110.14
2025,21-Jan 3am,145388.41
2025,21-Jan 4am,145757.07
2025,21-Jan 5am,153430.31
2025,21-Jan 6am,169635.03
2025,21-Jan 7am,196313.49
2025,21-Jan 8am,210141.62
2025,21-Jan 9am,218048.2
2025,21-Jan 10am,223841.99
2025,21-Jan 11am,221476.86
2025,21-Jan 12pm,215043.38
2025,21-Jan 1pm,206392.04
2025,21-Jan 2pm,200070.68
2025,21-Jan 3pm,201188.73
2025,21-Jan 4pm,199874.48
2025,21-Jan 5pm,198560.06
2025,21-Jan 6pm,199439.17
2025,21-Jan 7pm,200781.57
2025,21-Jan 8pm,189785.21
2025,21-Jan 9pm,178537.35
2025,21-Jan 10pm,167350.6
2025,21-Jan 11pm,161767.86
2025,22-Jan 12am,155470.85
2025,22-Jan 1am,152528.76
2025,22-Jan 2am,148784.38
2025,22-Jan 3am,147766.13
2025,22-Jan 4am,148053.56
2025,22-Jan 5am,155906.46
2025,22-Jan 6am,172190.07
2025,22-Jan 7am,198219.85
2025,22-Jan 8am,208685.86
2025,22-Jan 9am,217732.28
2025,22-Jan 10am,225955.53
2025,22-Jan 11am,222507.07
2025,22-Jan 12pm,215361.3
2025,22-Jan 1pm,208902.64
2025,22-Jan 2pm,202500.13
